Release 13.1 - par O.40d (nt)
Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

Sat Nov 19 11:17:15 2011


INFO: The IO information is provided in three file formats as part of the Place and Route (PAR) process.  These formats are:
1. The <design name>_pad.txt file (this file) designed to provide information on IO usage in a human readable ASCII text format viewable through common text editors.
2. The <design namd>_pad.csv file for use with spreadsheet programs such as MS Excel. This file can also be read by PACE to communicate post PAR IO information.
3. The <design name>.pad file designed for parsing by customers.  It uses the "|" as a data field separator.

INPUT FILE:       PipeTest_map.ncd
OUTPUT FILE:      PipeTest_pad.txt
PART TYPE:        xc6slx45
SPEED GRADE:      -2
PACKAGE:          fgg484

Pinout by Pin Number:

+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|Pin Number|Signal Name  |Pin Usage|Pin Name                     |Direction|IO Standard|IO Bank Number|Drive (mA)|Slew Rate|Termination|IOB Delay|Voltage  |Constraint|IO Register|Signal Integrity|
|A13       |             |IOBS     |IO_L38N_VREF_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A14       |             |IOBS     |IO_L50N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A15       |             |IOBS     |IO_L51N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A16       |             |IOBS     |IO_L63N_SCP6_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A17       |             |IOBS     |IO_L64N_SCP4_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A18       |             |IOBS     |IO_L65N_SCP2_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|A19       |             |         |TDO                          |         |           |              |          |         |           |         |         |          |           |                |
|A20       |             |IOBM     |IO_L20P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A21       |             |IOBS     |IO_L20N_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|A22       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA1       |             |         |PROGRAM_B_2                  |         |           |              |          |         |           |         |         |          |           |                |
|AA2       |hi_inout<7>  |IOB      |IO_L64P_D8_2                 |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AA3       |             |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|AA4       |hi_in<4>     |IOB      |IO_L57P_2                    |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AA5       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA6       |hi_inout<12> |IOB      |IO_L49P_D3_2                 |TRISTATE |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA7       |             |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|AA8       |hi_out<1>    |IOB      |IO_L45P_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA9       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA10      |led<6>       |IOB      |IO_L41P_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA11      |             |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|AA12      |hi_inout<1>  |IOB      |IO_L31P_GCLK31_D14_2         |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AA13      |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA14      |led<2>       |IOB      |IO_L16P_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA15      |             |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|AA16      |led<4>       |IOB      |IO_L19P_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA17      |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AA18      |hi_inout<4>  |IOB      |IO_L14P_D11_2                |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AA19      |             |         |VCCO_2                       |         |           |2             |          |         |           |         |3.30     |          |           |                |
|AA20      |hi_inout<15> |IOB      |IO_L3P_D0_DIN_MISO_MISO1_2   |TRISTATE |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AA21      |             |IOBM     |IO_L2P_CMPCLK_2              |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AA22      |hi_muxsel    |IOB      |IO_L1N_M0_CMPMISO_2          |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB1       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|AB2       |hi_inout<6>  |IOB      |IO_L64N_D9_2                 |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AB3       |hi_in<7>     |IOB      |IO_L58N_2                    |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB4       |hi_in<5>     |IOB      |IO_L57N_2                    |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB5       |             |IOBS     |IO_L54N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB6       |hi_inout<11> |IOB      |IO_L49N_D4_2                 |TRISTATE |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB7       |hi_in<2>     |IOB      |IO_L48N_RDWR_B_VREF_2        |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB8       |hi_in<3>     |IOB      |IO_L45N_2                    |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB9       |i2c_sda      |IOB      |IO_L43N_2                    |TRISTATE |LVCMOS33   |2             |12        |         |PULLUP     |         |         |LOCATED   |NO         |NONE            |
|AB10      |led<7>       |IOB      |IO_L41N_VREF_2               |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB11      |fast_clk     |IOB      |IO_L32N_GCLK28_2             |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB12      |hi_inout<0>  |IOB      |IO_L31N_GCLK30_D15_2         |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AB13      |sample_clk   |IOB      |IO_L30N_GCLK0_USERCCLK_2     |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB14      |led<3>       |IOB      |IO_L16N_VREF_2               |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB15      |             |IOBS     |IO_L21N_2                    |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB16      |led<5>       |IOB      |IO_L19N_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB17      |led<1>       |IOB      |IO_L15N_2                    |OUTPUT   |LVCMOS33   |2             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|AB18      |hi_inout<3>  |IOB      |IO_L14N_D12_2                |BIDIR    |LVCMOS33   |2             |12        |         |           |NONE     |         |LOCATED   |YES        |NONE            |
|AB19      |             |IOBS     |IO_L5N_2                     |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB20      |hi_in<1>     |IOB      |IO_L3N_MOSI_CSI_B_MISO0_2    |INPUT    |LVCMOS33   |2             |          |         |           |NONE     |         |LOCATED   |NO         |NONE            |
|AB21      |             |IOBS     |IO_L2N_CMPMOSI_2             |UNUSED   |           |2             |          |         |           |         |         |          |           |                |
|AB22      |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B1        |             |IOBS     |IO_L60N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B2        |             |IOBM     |IO_L60P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B3        |             |IOBS     |IO_L83N_VREF_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|B4        |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B5        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B6        |             |IOBM     |IO_L4P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B7        |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B8        |             |IOBM     |IO_L6P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B9        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B10       |             |IOBM     |IO_L34P_GCLK19_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B11       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B12       |             |IOBM     |IO_L37P_GCLK13_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B13       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B14       |             |IOBM     |IO_L50P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B15       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B16       |             |IOBM     |IO_L63P_SCP7_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B17       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|B18       |             |IOBM     |IO_L65P_SCP3_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|B19       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|B20       |             |IOBS     |IO_L1N_A24_VREF_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|B21       |             |IOBM     |IO_L19P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|B22       |             |IOBS     |IO_L19N_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C1        |             |IOBS     |IO_L54N_M3A11_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C2        |             |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|C3        |             |IOBM     |IO_L54P_M3RESET_3            |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C4        |             |IOBS     |IO_L81N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|C5        |led_B<1>     |IOB      |IO_L2P_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C6        |led_status<2>|IOB      |IO_L3N_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C7        |             |IOBM     |IO_L5P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C8        |             |IOBS     |IO_L7N_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C9        |             |IOBM     |IO_L8P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C10       |             |IOBS     |IO_L33N_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C11       |             |IOBM     |IO_L35P_GCLK17_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C12       |             |IOBS     |IO_L36N_GCLK14_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C13       |             |IOBM     |IO_L38P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C14       |led_C<2>     |IOB      |IO_L49N_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|C15       |             |IOBM     |IO_L51P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C16       |             |IOBS     |IO_L62N_VREF_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C17       |             |IOBM     |IO_L64P_SCP5_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|C18       |             |         |TMS                          |         |           |              |          |         |           |         |         |          |           |                |
|C19       |             |IOBM     |IO_L1P_A25_1                 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C20       |             |IOBM     |IO_L32P_A17_M1A8_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|C21       |             |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|C22       |             |IOBS     |IO_L32N_A16_M1A9_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D1        |             |IOBS     |IO_L53N_M3A12_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D2        |             |IOBM     |IO_L53P_M3CKE_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D3        |             |IOBM     |IO_L81P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D4        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D5        |             |IOBM     |IO_L58P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|D6        |led_status<1>|IOB      |IO_L3P_0                     |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D7        |led_D<0>     |IOB      |IO_L32P_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D8        |led_D<2>     |IOB      |IO_L32N_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D9        |             |IOBM     |IO_L7P_0                     |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D10       |             |IOBM     |IO_L33P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D11       |             |IOBM     |IO_L36P_GCLK15_0             |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D12       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|D13       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|D14       |led_C<0>     |IOB      |IO_L49P_0                    |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D15       |             |IOBM     |IO_L62P_0                    |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D16       |             |         |VCCAUX                       |         |           |              |          |         |           |         |3.3      |          |           |                |
|D17       |             |IOBS     |IO_L66N_SCP0_0               |UNUSED   |           |0             |          |         |           |         |         |          |           |                |
|D18       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|D19       |adc_sdo_B    |IOB      |IO_L29P_A23_M1A13_1          |INPUT    |LVCMOS33   |1             |          |         |PULLDOWN   |NONE     |         |LOCATED   |NO         |NONE            |
|D20       |adc_sck_B    |IOB      |IO_L29N_A22_M1A14_1          |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|D21       |             |IOBM     |IO_L31P_A19_M1CKE_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|D22       |             |IOBS     |IO_L31N_A18_M1A12_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E1        |             |IOBS     |IO_L52N_M3A9_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E2        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E3        |             |IOBM     |IO_L52P_M3A8_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E4        |             |IOBS     |IO_L58N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E5        |             |IOBM     |IO_L82P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E6        |             |IOBS     |IO_L82N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|E7        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E8        |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|E9        |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E10       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|E11       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E12       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|E13       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E14       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|E15       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E16       |led_C<1>     |IOB      |IO_L66P_SCP1_0               |OUTPUT   |LVCMOS33   |0             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|E17       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|E18       |             |         |TDI                          |         |           |              |          |         |           |         |         |          |           |                |
|E19       |             |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|E20       |             |IOBM     |IO_L35P_A11_M1A7_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|E21       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|E22       |             |IOBS     |IO_L35N_A10_M1A2_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F1        |             |IOBS     |IO_L50N_M3BA2_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F2        |             |IOBM     |IO_L50P_M3WE_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F3        |             |IOBS     |IO_L51N_M3A4_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F4        |             |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|F5        |             |IOBS     |IO_L55N_M3A14_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F6        |             |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|F7        |             |IOBS     |IO_L80N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|F8        |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F9        |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F10       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F11       |             |         |VCCAUX                       |         |           |              |          |         |           |         |3.3      |          |           |                |
|F12       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F13       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F14       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F15       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|F16       |adc_cnv_B    |IOB      |IO_L10P_1                    |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F17       |adc_reset_B  |IOB      |IO_L10N_1                    |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F18       |             |IOBM     |IO_L30P_A21_M1RESET_1        |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F19       |             |IOBS     |IO_L30N_A20_M1A11_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F20       |adc_sck_A    |IOB      |IO_L33N_A14_M1A4_1           |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|F21       |             |IOBM     |IO_L37P_A7_M1A0_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|F22       |             |IOBS     |IO_L37N_A6_M1A1_1            |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G1        |             |IOBS     |IO_L48N_M3BA1_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G2        |             |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|G3        |             |IOBM     |IO_L48P_M3BA0_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G4        |             |IOBM     |IO_L51P_M3A10_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G5        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G6        |             |IOBM     |IO_L55P_M3A13_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G7        |             |IOBM     |IO_L80P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|G8        |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|G9        |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|G10       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|G11       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|G12       |             |         |VCCAUX                       |         |           |              |          |         |           |         |3.3      |          |           |                |
|G13       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|G14       |             |         |VCCO_0                       |         |           |0             |          |         |           |         |3.30     |          |           |                |
|G15       |             |         |TCK                          |         |           |              |          |         |           |         |         |          |           |                |
|G16       |adc_cnv_A    |IOB      |IO_L9P_1                     |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|G17       |adc_reset_A  |IOB      |IO_L9N_1                     |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|G18       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|G19       |adc_sdo_A    |IOB      |IO_L33P_A15_M1A10_1          |INPUT    |LVCMOS33   |1             |          |         |PULLDOWN   |NONE     |         |LOCATED   |NO         |NONE            |
|G20       |             |IOBM     |IO_L39P_M1A3_1               |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|G21       |             |         |VCCO_1                       |         |           |1             |          |         |           |         |3.30     |          |           |                |
|G22       |             |IOBS     |IO_L39N_M1ODT_1              |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H1        |             |IOBS     |IO_L47N_M3A1_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H2        |             |IOBM     |IO_L47P_M3A0_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H3        |             |IOBS     |IO_L46N_M3CLKN_3             |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H4        |             |IOBM     |IO_L46P_M3CLK_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H5        |             |IOBS     |IO_L49N_M3A2_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H6        |             |IOBM     |IO_L49P_M3A7_3               |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H7        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|H8        |             |IOBS     |IO_L59N_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|H9        |             |         |VCCAUX                       |         |           |              |          |         |           |         |3.3      |          |           |                |
|H10       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|H11       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|H12       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|H13       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|H14       |             |         |NC                           |         |           |              |          |         |           |         |         |          |           |                |
|H15       |             |         |VCCAUX                       |         |           |              |          |         |           |         |3.3      |          |           |                |
|H16       |             |IOBM     |IO_L28P_1                    |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H17       |             |IOBS     |IO_L28N_VREF_1               |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H18       |             |IOBS     |IO_L34N_A12_M1BA2_1          |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H19       |adc_step_A   |IOB      |IO_L34P_A13_M1WE_1           |OUTPUT   |LVCMOS33   |1             |12        |         |           |         |         |LOCATED   |NO         |NONE            |
|H20       |             |IOBM     |IO_L38P_A5_M1CLK_1           |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H21       |             |IOBM     |IO_L41P_GCLK9_IRDY1_M1RASN_1 |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|H22       |             |IOBS     |IO_L41N_GCLK8_M1CASN_1       |UNUSED   |           |1             |          |         |           |         |         |          |           |                |
|J1        |             |IOBS     |IO_L41N_GCLK26_M3DQ5_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J2        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J3        |             |IOBM     |IO_L41P_GCLK27_M3DQ4_3       |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J4        |             |IOBS     |IO_L44N_GCLK20_M3A6_3        |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J5        |             |         |VCCO_3                       |         |           |3             |          |         |           |         |any******|          |           |                |
|J6        |             |IOBS     |IO_L45N_M3ODT_3              |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J7        |             |IOBM     |IO_L59P_3                    |UNUSED   |           |3             |          |         |           |         |         |          |           |                |
|J8        |             |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J9        |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J10       |             |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J11       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J12       |             |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
|J13       |             |         |GND                          |         |           |              |          |         |           |         |         |          |           |                |
|J14       |             |         |VCCINT                       |         |           |              |          |         |           |         |1.2      |          |           |                |
